PROVINCIE,link organisatie,type org,naam,adres,postcode,plaats,posx,posY,provincie,telf,regio
Groningen,"/zorgorganisatie/793848/fysiotherapiepraktijk/groningen/fysiotherapie-m-c-z",fysiotherapiepraktijk,Fysiotherapie M.C.Z. - Groningen,Van Ketwich Verschuurlaan 287-a,9721 SM ,Groningen,53.193478,6.575870,,050-5271613,
Groningen,"/zorgorganisatie/793848/fysiotherapiepraktijk/groningen/fysiotherapie-m-c-z",fysiotherapiepraktijk,Fysiotherapie M.C.Z. - Groningen,Van Ketwich Verschuurlaan 287-a,9721 SM ,Groningen,53.193478,6.575870,,050-5271613,
Groningen,"/zorgorganisatie/805310/fysiotherapiepraktijk/groningen/helpman-praktijk-voor-fysio-en-manuele-therapie",fysiotherapiepraktijk,Helpman Praktijk voor Fysio- en Manuele Therapie - Groningen,Haydnlaan 42,9722 CJ ,Groningen,53.201595,6.584262,,050-5258489,
Groningen,"/zorgorganisatie/805313/fysiotherapiepraktijk/groningen/motorische-remedial-teaching-neuro-motorische-trainingen-centrum-voor",fysiotherapiepraktijk,Motorische Remedial Teaching/neuro Motorische Trainingen Centrum voor - Groningen,Thorbeckelaan 13,9722 NA ,Groningen,53.194485,6.590633,,050-5268438,
Groningen,"/zorgorganisatie/793780/fysiotherapiepraktijk/groningen/hereweg-praktijk-voor-fysiotherapie",fysiotherapiepraktijk,Hereweg Praktijk voor Fysiotherapie - Groningen,Hereweg 8,9724 AB ,Groningen,53.211693,6.570935,,050-3134636,
Groningen,"/zorgorganisatie/805814/fysiotherapiepraktijk/groningen/borger-haptotherapie-en-fysiotherapie",fysiotherapiepraktijk,Börger Haptotherapie en Fysiotherapie - Groningen,Meeuwerderweg 43,9724 EN ,Groningen,53.211632,6.578666,,06-42771483,
Groningen,"/zorgorganisatie/805298/fysiotherapiepraktijk/groningen/fysiosportief",fysiotherapiepraktijk,Fysiosportief - Groningen,Vechtstraat 52,9725 CW ,Groningen,53.207527,6.569908,,050-3136988,
Groningen,"/zorgorganisatie/805314/fysiotherapiepraktijk/groningen/huls-fysiotherapie-j-w",fysiotherapiepraktijk,Huls Fysiotherapie J W - Groningen,Merwedestraat 54,9725 KE ,Groningen,53.206959,6.567526,,050-5270007,
Groningen,"/zorgorganisatie/805309/fysiotherapiepraktijk/groningen/thetra-centrum-voor-therapie-en-training",fysiotherapiepraktijk,Thetra Centrum voor Therapie en Training - Groningen,Onderduikersstraat 1,9727 CD ,Groningen,53.208385,6.555481,,050-5256890,
Groningen,"/zorgorganisatie/805311/fysiotherapiepraktijk/groningen/meijering-fysio-en-manuele-therapie",fysiotherapiepraktijk,Meijering Fysio- en Manuele Therapie - Groningen,Kamerlingh Onnesstraat 47,9727 HE ,Groningen,53.205292,6.561118,,050-5267144,
Groningen,"/zorgorganisatie/805327/fysiotherapiepraktijk/groningen/cirkel-de",fysiotherapiepraktijk,Cirkel de - Groningen,Kochstraat 1/4,9728 KA ,Groningen,53.196793,6.555610,,050-8801432,
Groningen,"/zorgorganisatie/795086/fysiotherapiepraktijk/groningen/de-praktijk",fysiotherapiepraktijk,De Praktijk - Groningen,Boerhaavelaan 28,9728 LR ,Groningen,53.197380,6.552427,,050-5252423,
Groningen,"/zorgorganisatie/795685/fysiotherapiepraktijk/groningen/gezondheidscentrum-lewenborg",fysiotherapiepraktijk,Gezondheidscentrum Lewenborg - Groningen,Rijksweg 16-a,9731 AB ,Groningen,53.226604,6.599952,,050-5419264,
Groningen,"/zorgorganisatie/805787/fysiotherapiepraktijk/groningen/boekema-sportfysiotherapie-r-d",fysiotherapiepraktijk,Boekema Sportfysiotherapie R D - Groningen,Kardingerweg 48,9735 AH ,Groningen,53.235519,6.590920,,06-29410851,
Groningen,"/zorgorganisatie/796772/fysiotherapiepraktijk/groningen/centrum-voor-fysiotherapie-beijum",fysiotherapiepraktijk,Centrum voor Fysiotherapie Beijum - Groningen,Emingaheerd 8-a,9736 GA ,Groningen,53.244038,6.591049,,050-5415381,
Groningen,"/zorgorganisatie/796536/fysiotherapiepraktijk/groningen/kinderfysiotherapie-groningen",fysiotherapiepraktijk,Kinderfysiotherapie Groningen - Groningen,Beijumerweg 21-23,9737 AB ,Groningen,53.249664,6.593545,,06-23935948,
Groningen,"/zorgorganisatie/805796/fysiotherapiepraktijk/groningen/paramedische-praktijk-noorderhoogebrug",fysiotherapiepraktijk,Paramedische Praktijk Noorderhoogebrug - Groningen,Groningerweg 38,9738 AB ,Groningen,53.251034,6.581615,,06-33972211,
Groningen,"/zorgorganisatie/805320/fysiotherapiepraktijk/groningen/fysio-selwerd",fysiotherapiepraktijk,Fysio Selwerd - Groningen,Beukenlaan 36,9741 HM ,Groningen,53.235806,6.555244,,050-5712933,
Groningen,"/zorgorganisatie/794278/fysiotherapiepraktijk/groningen/fysio-selwerd",fysiotherapiepraktijk,Fysio Selwerd - Groningen,Bottelroosstraat 1-a,9741 JD ,Groningen,53.237476,6.552377,,050-5719807,
Groningen,"/zorgorganisatie/794053/fysiotherapiepraktijk/groningen/negentig-maatschap-voor-fysiotherapie",fysiotherapiepraktijk,Negentig Maatschap voor Fysiotherapie - Groningen,Zonnelaan 26,9742 BL ,Groningen,53.230721,6.541962,,050-5717157,
Groningen,"/zorgorganisatie/805308/fysiotherapiepraktijk/groningen/dbc-groningen",fysiotherapiepraktijk,Dbc Groningen - Groningen,Friesestraatweg 217/b,9743 AD ,Groningen,53.235336,6.519393,,050-5254744,
Groningen,"/zorgorganisatie/805321/fysiotherapiepraktijk/groningen/vinkhuizen-de-held-fysiotherapie-manuele-therapie",fysiotherapiepraktijk,Vinkhuizen/de Held Fysiotherapie Manuele Therapie - Groningen,Goudlaan 289,9743 CH ,Groningen,53.227451,6.531484,,050-5714480,
Groningen,"/zorgorganisatie/805324/fysiotherapiepraktijk/groningen/kinderfysiotherapie-meurs",fysiotherapiepraktijk,Kinderfysiotherapie Meurs - Groningen,Kornalijnlaan 3,9743 JK ,Groningen,53.228214,6.525241,,050-5757301,
Groningen,"/zorgorganisatie/795385/fysiotherapiepraktijk/groningen/stichting-ilmarinen-heilpedagogisch-kinderdagcentrum",fysiotherapiepraktijk,Stichting Ilmarinen Heilpedagogisch Kinderdagcentrum - Groningen,Kornalijnlaan 3,9743 JK ,Groningen,53.228214,6.525241,,"06-41485037, 050-5757301",
Groningen,"/zorgorganisatie/805318/fysiotherapiepraktijk/groningen/actifit-fysiotherapie",fysiotherapiepraktijk,Actifit Fysiotherapie - Groningen,Blauwborgje 16,9747 AC ,Groningen,53.239727,6.530178,,050-5710202,
Groningen,"/zorgorganisatie/11313/ggz-instelling/groningen/molendrift",ggz-instelling,Molendrift - Groningen,Ubbo Emmiussingel 110,9711 BK ,Groningen,53.212883,6.566108,,050-3185142,
Groningen,"/zorgorganisatie/11313/ggz-instelling/groningen/molendrift",ggz-instelling,Molendrift - Groningen,Ubbo Emmiussingel 110,9711 BK ,Groningen,53.212883,6.566108,,050-3185142,
Groningen,"/zorgorganisatie/6848/ggz-instelling/groningen/universitair-centrum-kinder-en-jeugdpsychiatrie-rug",ggz-instelling,Universitair centrum kinder- en jeugdpsychiatrie (RUG) - Groningen,Oostersingel 59,9713 EZ ,Groningen,53.221195,6.574364,,050-3681173,
Groningen,"/zorgorganisatie/6847/ggz-instelling/groningen/mesdagkliniek",ggz-instelling,Mesdagkliniek - Groningen,Engelse Kamp 5,9722 AX ,Groningen,53.203583,6.580771,,050-5221221,
Groningen,"/zorgorganisatie/791756/ggz-instelling/groningen/eleos-regio-noordoost-nevenvestiging-groningen",ggz-instelling,Eleos regio Noordoost nevenvestiging Groningen - Groningen,Chopinlaan 12,9722 KE ,Groningen,53.199059,6.588279,,078-6316960,
Groningen,"/zorgorganisatie/790610/ggz-instelling/groningen/lentis-zorggroep-welnis-centrum-integrale-psychiatrie",ggz-instelling,Lentis Zorggroep Welnis Centrum Integrale Psychiatrie - Groningen,Laan Corpus den Hoorn 102-2,9728 JR ,Groningen,53.194153,6.554520,,050-5223135,
Groningen,"/zorgorganisatie/813763/kliniek/groningen/dermalight",kliniek,Dermalight - Groningen,Vechtstraat 72,9725 CW ,Groningen,53.207527,6.569908,,050-3187773,
Groningen,"/zorgorganisatie/813763/kliniek/groningen/dermalight",kliniek,Dermalight - Groningen,Vechtstraat 72,9725 CW ,Groningen,53.207527,6.569908,,050-3187773,
Groningen,"/zorgorganisatie/807476/logopediepraktijk/groningen/postma-mevr-drs-l-d",logopediepraktijk,Postma Mevr Drs L D - Groningen,Turfsingel 17,9712 KH ,Groningen,53.221504,6.569525,,050-5261092,
Groningen,"/zorgorganisatie/807470/logopediepraktijk/groningen/geertsema-presentatietraining-a-theaterlogopedie-janneke",logopediepraktijk,Geertsema Presentatietraining & Theaterlogopedie Janneke - Groningen,Zoutstraat 25,9712 TB ,Groningen,53.220581,6.557657,,050-3119017,
Groningen,"/zorgorganisatie/807472/logopediepraktijk/groningen/vennema-logopedische-praktijk-r",logopediepraktijk,Vennema Logopedische Praktijk R - Groningen,Koninginnelaan 16,9717 BT ,Groningen,53.222195,6.550496,,050-3180260,
Groningen,"/zorgorganisatie/807482/logopediepraktijk/groningen/adem-en-stempraktijk-vocal-touch",logopediepraktijk,Adem- en Stempraktijk Vocal Touch - Groningen,Tuinbouwstraat 113/b,9717 JG ,Groningen,53.227390,6.555159,,050-5716789,
Groningen,"/zorgorganisatie/807471/logopediepraktijk/groningen/groepspraktijk-logopedie-a-stottertherapie-lid-nvst",logopediepraktijk,Groepspraktijk Logopedie & Stottertherapie / Lid Nvst - Groningen,Jan van Goyenstraat 3,9718 NX ,Groningen,53.217678,6.545018,,050-3132389,
Groningen,"/zorgorganisatie/813824/logopediepraktijk/groningen/logopediepraktijk-groningen-zuid-locatie-helpman",logopediepraktijk,Logopediepraktijk Groningen Zuid locatie Helpman - Groningen,Haydnlaan 42,9722 CJ ,Groningen,53.201595,6.584262,,06-11867198,
Groningen,"/zorgorganisatie/807699/logopediepraktijk/groningen/kinderpraktijk-groningen-logopedie",logopediepraktijk,Kinderpraktijk Groningen Logopedie - Groningen,Paterswoldseweg 26,9726 BD ,Groningen,53.195530,6.555983,,050-3124115,
Groningen,"/zorgorganisatie/807699/logopediepraktijk/groningen/kinderpraktijk-groningen-logopedie",logopediepraktijk,Kinderpraktijk Groningen Logopedie - Groningen,Paterswoldseweg 26,9726 BD ,Groningen,53.195530,6.555983,,050-3124115,
Groningen,"/zorgorganisatie/813823/logopediepraktijk/groningen/logopediepraktijk-groningen-zuid-locatie-corpus-den-hoorn",logopediepraktijk,Logopediepraktijk Groningen Zuid locatie Corpus den Hoorn - Groningen,Bezettingslaan 60/1,9728 EK ,Groningen,53.199448,6.558947,,06-11867198,
Groningen,"/zorgorganisatie/807475/logopediepraktijk/groningen/wortelboer-g-logopedische-praktijk",logopediepraktijk,Wortelboer G Logopedische Praktijk - Groningen,Sportlaan 2/-,9728 PH ,Groningen,53.192696,6.557821,,050-5257941,
Groningen,"/zorgorganisatie/807477/logopediepraktijk/groningen/walraven-raming-stottertherapie-a-logopedie-m-g-v",logopediepraktijk,Walraven-Raming Stottertherapie & Logopedie M G V - Groningen,J M den Uylstraat 310,9728 RK ,Groningen,53.188828,6.560537,,050-5268664,
Groningen,"/zorgorganisatie/807485/logopediepraktijk/groningen/allround-logopedie-praktijk-wicherlink",logopediepraktijk,Allround Logopedie Praktijk Wicherlink - Groningen,Klaas Schipperlaan 8,9731 KD ,Groningen,53.238373,6.575363,,050-8517516,
Groningen,"/zorgorganisatie/807481/logopediepraktijk/groningen/ruskenborg-logopedie-praktijk",logopediepraktijk,Ruskenborg Logopedie Praktijk - Groningen,Johan Dijkstralaan 11,9744 DA ,Groningen,53.204334,6.514185,,050-5531770,
Groningen,"/zorgorganisatie/807483/logopediepraktijk/groningen/post-praktijk-voor-spreek-en-stemwerk-b",logopediepraktijk,Post Praktijk voor Spreek en Stemwerk B - Groningen,Oscar Wildestraat 8,9746 AS ,Groningen,53.230591,6.511714,,050-5776855,
Groningen,"/zorgorganisatie/793763/oefentherapie-praktijk/groningen/medisch-centrum-de-vecht",oefentherapie-praktijk,Medisch Centrum de Vecht - Groningen,Vechtstraat 80,9725 CW ,Groningen,53.207527,6.569908,,050-5262280,
Groningen,"/zorgorganisatie/810659/podotherapie-praktijk/groningen/pedicure-podopedie",podotherapie-praktijk,Pedicure Podopedie - Groningen,Oostersingel 110,9711 XH ,Groningen,53.221264,6.574345,,050-3123651,
Groningen,"/zorgorganisatie/810661/podotherapie-praktijk/groningen/podotherapie-de-haas-u-m-c-g",podotherapie-praktijk,Podotherapie de Haas U M C G - Groningen,Hanzeplein 1,9713 GZ ,Groningen,53.220634,6.576466,,050-3614697,
Groningen,"/zorgorganisatie/810660/podotherapie-praktijk/groningen/podocentrum-groningen",podotherapie-praktijk,Podocentrum Groningen - Groningen,Aweg 7,9718 CS ,Groningen,53.215321,6.553589,,050-3128362,
Groningen,"/zorgorganisatie/810663/podotherapie-praktijk/groningen/podotherapie-groningen",podotherapie-praktijk,Podotherapie Groningen - Groningen,Laan van de Vrijheid 130,9728 GH ,Groningen,53.199097,6.556667,,050-5274334,
Groningen,"/zorgorganisatie/803822/podotherapie-praktijk/groningen/rw-hilbrants-register-podoloog-a-b",podotherapie-praktijk,RW  Hilbrants - Register- Podoloog A/B - Groningen,Aldo Morostraat 62,9728 SP ,Groningen,53.219383,6.566502,,050-5255100,
Groningen,"/zorgorganisatie/811579/psychologenpraktijk/groningen/yvonne-hofman",psychologenpraktijk,Yvonne Hofman - Groningen,Stationsstraat 14,9711 AS ,Groningen,53.214169,6.562624,,050-3123180,
Groningen,"/zorgorganisatie/811587/psychologenpraktijk/groningen/praktijk-hoek-melkweg",psychologenpraktijk,Praktijk Hoek Melkweg - Groningen,Ubbo Emmiussingel 39,9711 BC ,Groningen,53.212883,6.566108,,050-3186003,
Groningen,"/zorgorganisatie/811876/psychologenpraktijk/groningen/hofman-psycholoog-psychotherapeut-drs-k",psychologenpraktijk,Hofman Psycholoog Psychotherapeut Drs K - Groningen,Coehoornsingel 14/2a,9711 BS ,Groningen,53.213573,6.565676,,06-23004037,
Groningen,"/zorgorganisatie/811584/psychologenpraktijk/groningen/psychologen-zuiderpark",psychologenpraktijk,Psychologen Zuiderpark - Groningen,Raamstraat 10,9711 CK ,Groningen,53.214329,6.568818,,050-3142152,
Groningen,"/zorgorganisatie/811589/psychologenpraktijk/groningen/benjamin-niemeijer-drs",psychologenpraktijk,Benjamin Niemeijer Drs - Groningen,Trompstraat 7/1,9711 EB ,Groningen,53.215397,6.575128,,050-3604623,
Groningen,"/zorgorganisatie/811577/psychologenpraktijk/groningen/wijnberg-psychologenpraktijk-j-r",psychologenpraktijk,Wijnberg Psychologenpraktijk J R - Groningen,Radebinnensingel 15,9711 EL ,Groningen,53.215675,6.573766,,050-3113900,
Groningen,"/zorgorganisatie/811617/psychologenpraktijk/groningen/trans-spirituele-cognitieve-coaching-begeleiding-en-therapie",psychologenpraktijk,Trans Spirituele Cognitieve Coaching Begeleiding en Therapie - Groningen,Haddingestraat 2,9711 KD ,Groningen,53.215900,6.565811,,050-5893953,
Groningen,"/zorgorganisatie/812000/psychologenpraktijk/groningen/lesbische-hulpverlening-ingrid-verbeek",psychologenpraktijk,Lesbische Hulpverlening Ingrid Verbeek - Groningen,Vismarkt 34/a,9711 KT ,Groningen,53.217388,6.564855,,06-53997745,
Groningen,"/zorgorganisatie/811606/psychologenpraktijk/groningen/gestaltis-j-ph-wieringa",psychologenpraktijk,Gestaltis J Ph Wieringa - Groningen,Agricolastraat 28,9711 TS ,Groningen,53.220146,6.574093,,050-5352532,
Groningen,"/zorgorganisatie/811586/psychologenpraktijk/groningen/deodatus-c-g",psychologenpraktijk,Deodatus C G - Groningen,Visserstraat 12,9712 CV ,Groningen,53.219326,6.559484,,050-3185826,
Groningen,"/zorgorganisatie/793758/psychologenpraktijk/groningen/psychologen-kollektief-groningen",psychologenpraktijk,Psychologen Kollektief Groningen - Groningen,Oude Boteringestraat 27,9712 GC ,Groningen,53.219612,6.564190,,050-3135700,
Groningen,"/zorgorganisatie/811575/psychologenpraktijk/groningen/leijenaar-mw-drs-j-c-psychologenpraktijk",psychologenpraktijk,Leijenaar Mw Drs J C Psychologenpraktijk - Groningen,Turfstraat 14,9712 JK ,Groningen,53.221378,6.569927,,050-3111116,
Groningen,"/zorgorganisatie/811576/psychologenpraktijk/groningen/praktijk-la-goccia",psychologenpraktijk,Praktijk La Goccia - Groningen,Bloemstraat 22,9712 LD ,Groningen,53.223209,6.568118,,050-3111309,
Groningen,"/zorgorganisatie/811583/psychologenpraktijk/groningen/bureau-opsy",psychologenpraktijk,Bureau Opsy - Groningen,Boterdiep 83,9712 LL ,Groningen,53.224632,6.563760,,050-3140498,
Groningen,"/zorgorganisatie/811573/psychologenpraktijk/groningen/psychologiepraktijk-op-haptonomische-basis",psychologenpraktijk,Psychologiepraktijk Op Haptonomische Basis - Groningen,Gorechtkade 8,9713 CA ,Groningen,53.225327,6.577859,,050-3093944,
Groningen,"/zorgorganisatie/811972/psychologenpraktijk/groningen/arent-psychologie-praktijk-van",psychologenpraktijk,Arent Psychologie Praktijk van - Groningen,Bernoulliplein 15,9714 BT ,Groningen,53.228336,6.565874,,06-50642895,
Groningen,"/zorgorganisatie/811620/psychologenpraktijk/groningen/1heid",psychologenpraktijk,1heid - Groningen,Johannes Mulderstraat 17,9714 CV ,Groningen,53.228874,6.569697,,050-8506803,
Groningen,"/zorgorganisatie/796643/psychologenpraktijk/groningen/praktijk-eerstelijns-psychologen-groningen",psychologenpraktijk,Praktijk Eerstelijns Psychologen Groningen - Groningen,Korreweg 248,9715 AP ,Groningen,53.232468,6.573529,,050-5778888,
Groningen,"/zorgorganisatie/811588/psychologenpraktijk/groningen/psychologe-a-i-de-boer",psychologenpraktijk,Psychologe A I de Boer - Groningen,Selwerderstraat 5,9717 GJ ,Groningen,53.223965,6.552312,,050-3188606,
Groningen,"/zorgorganisatie/811581/psychologenpraktijk/groningen/minstreel-de",psychologenpraktijk,Minstreel de - Groningen,Kerklaan 74,9717 HG ,Groningen,53.224396,6.552795,,050-3128137,
Groningen,"/zorgorganisatie/811582/psychologenpraktijk/groningen/praktijk-thomassen",psychologenpraktijk,Praktijk Thomassen - Groningen,Jozef Israelsstraat 34,9718 GL ,Groningen,53.216080,6.552747,,050-3130526,
Groningen,"/zorgorganisatie/811585/psychologenpraktijk/groningen/psychologen-team-groningen",psychologenpraktijk,Psychologen Team Groningen - Groningen,H W Mesdagstraat 64/a,9718 HN ,Groningen,53.216461,6.551735,,050-3180027,
Groningen,"/zorgorganisatie/796057/psychologenpraktijk/groningen/instelling-voor-cognitieve-en-gedragstherapie",psychologenpraktijk,Instelling voor cognitieve- en gedragstherapie - Groningen,Kraneweg 61,9718 JH ,Groningen,53.217335,6.551195,,06-51538977,
Groningen,"/zorgorganisatie/811598/psychologenpraktijk/groningen/cremer-g-h-en-cremer-schutrups-l",psychologenpraktijk,Cremer G H en Cremer-Schutrups L - Groningen,Kraneweg 69,9718 JJ ,Groningen,53.217289,6.550964,,050-5260139,
Groningen,"/zorgorganisatie/811578/psychologenpraktijk/groningen/psycholoog-conflictbemiddeling-heesink-mediation",psychologenpraktijk,Psycholoog Conflictbemiddeling Heesink Mediation - Groningen,Kraneweg 8,9718 JP ,Groningen,53.217289,6.550964,,050-3116807,
Groningen,"/zorgorganisatie/811616/psychologenpraktijk/groningen/graaff-drs-agnes-de",psychologenpraktijk,Graaff Drs Agnes de - Groningen,Jan van Goyenstraat 3,9718 NX ,Groningen,53.217678,6.545018,,050-5891603,
Groningen,"/zorgorganisatie/811599/psychologenpraktijk/groningen/sanders-h",psychologenpraktijk,Sanders H - Groningen,Moddermanlaan 5,9721 GK ,Groningen,53.195232,6.579290,,050-5262058,
Groningen,"/zorgorganisatie/811596/psychologenpraktijk/groningen/dethmers-psychologenpraktijk",psychologenpraktijk,Dethmers Psychologenpraktijk - Groningen,Verlengde Hereweg 60,9722 AE ,Groningen,53.194782,6.582312,,050-5252497,
Groningen,"/zorgorganisatie/811601/psychologenpraktijk/groningen/wijnberg-kratochvil-drs-t-v",psychologenpraktijk,Wijnberg-Kratochvil Drs T V - Groningen,Brinklaan 2,9722 BC ,Groningen,53.200245,6.581268,,050-5265596,
Groningen,"/zorgorganisatie/811614/psychologenpraktijk/groningen/beek-mw-drs-l-p-j-van",psychologenpraktijk,Beek Mw Drs L P J van - Groningen,De Savornin Lohmanlaan 30,9722 HH ,Groningen,53.196613,6.587280,,050-5731455,
Groningen,"/zorgorganisatie/811600/psychologenpraktijk/groningen/torringa-psychologenpraktijk-groningen-zuid",psychologenpraktijk,Torringa Psychologenpraktijk Groningen Zuid - Groningen,Troelstralaan 25,9722 JB ,Groningen,53.195530,6.586301,,050-5263243,
Groningen,"/zorgorganisatie/811602/psychologenpraktijk/groningen/m",psychologenpraktijk,M - Groningen,Kamplaan 10,9722 SH ,Groningen,53.189514,6.588318,,050-5269111,
Groningen,"/zorgorganisatie/811851/psychologenpraktijk/groningen/wolff-consult",psychologenpraktijk,Wolff Consult - Groningen,Barkmolenstraat 34,9723 DH ,Groningen,53.213436,6.582823,,06-20245941,
Groningen,"/zorgorganisatie/811574/psychologenpraktijk/groningen/klein-en-vd-wal-psychologen",psychologenpraktijk,Klein en vd Wal Psychologen - Groningen,Oosterweg 77,9724 CD ,Groningen,53.211166,6.575758,,050-3110988,
Groningen,"/zorgorganisatie/796749/psychologenpraktijk/groningen/pso",psychologenpraktijk,PSO - Groningen,Oliemulderstraat 6-1,9724 JE ,Groningen,53.211788,6.575587,,050-3185909,
Groningen,"/zorgorganisatie/797485/psychologenpraktijk/groningen/praktijk-voor-eerstelijnspsychologie",psychologenpraktijk,Praktijk voor Eerstelijnspsychologie - Groningen,Sterrebosstraat 24,9725 JN ,Groningen,53.206783,6.575909,,050-5281014,
Groningen,"/zorgorganisatie/793356/psychologenpraktijk/groningen/astus",psychologenpraktijk,ASTUS - Groningen,Vredewoldlaan 47,9727 DH ,Groningen,53.199036,6.530933,,050-5278739,
Groningen,"/zorgorganisatie/811619/psychologenpraktijk/groningen/psychologische-praktijk",psychologenpraktijk,Psychologische Praktijk - Groningen,Ubbegalaan 28,9727 DT ,Groningen,53.200420,6.526267,,050-8501372,
Groningen,"/zorgorganisatie/793942/psychologenpraktijk/groningen/praktijk-voor-a-i-t",psychologenpraktijk,Praktijk voor A.I.T. - Groningen,Canadalaan 47,9728 EB ,Groningen,53.198948,6.561466,,050-5269638,
Groningen,"/zorgorganisatie/796583/psychologenpraktijk/groningen/elp-praktijk-triade",psychologenpraktijk,ELP Praktijk Triade - Groningen,Sportlaan 2-3,9728 PH ,Groningen,53.192696,6.557821,,050-5280619,
Groningen,"/zorgorganisatie/795541/psychologenpraktijk/groningen/centrum-de-rond",psychologenpraktijk,Centrum de Rond - Groningen,R. Schumanstraat 2,9728 SK ,Groningen,53.187649,6.561148,,050-5259195,
Groningen,"/zorgorganisatie/811855/psychologenpraktijk/groningen/breukers-eerste-lijns-psycholoog-p-w",psychologenpraktijk,Breukers Eerste-Lijns Psycholoog P W - Groningen,Speenkruidstraat 77,9731 GR ,Groningen,53.230240,6.602515,,06-20841076,
Groningen,"/zorgorganisatie/811609/psychologenpraktijk/groningen/hunze-psychologengroep-de",psychologenpraktijk,Hunze Psychologengroep de - Groningen,Cuypersweg 58,9731 LA ,Groningen,53.246216,6.579581,,050-5491085,
Groningen,"/zorgorganisatie/811805/psychologenpraktijk/groningen/moedig-mens",psychologenpraktijk,Moedig Mens - Groningen,Cuypersweg 58,9731 LA ,Groningen,53.246216,6.579581,,06-12054970,
Groningen,"/zorgorganisatie/796369/psychologenpraktijk/groningen/praktijk-de-hunze",psychologenpraktijk,Praktijk de Hunze - Groningen,Van Eesterenlaan 15,9731 MZ ,Groningen,53.240402,6.578865,,050-5422667,
Groningen,"/zorgorganisatie/811610/psychologenpraktijk/groningen/jongsma-psychologenpraktijk-michiel",psychologenpraktijk,Jongsma Psychologenpraktijk Michiel - Groningen,Van Eesterenlaan 15,9731 MZ ,Groningen,53.240402,6.578865,,050-5496862,
Groningen,"/zorgorganisatie/796369/psychologenpraktijk/groningen/praktijk-de-hunze",psychologenpraktijk,Praktijk de Hunze - Groningen,Van Eesterenlaan 15,9731 MZ ,Groningen,53.240402,6.578865,,050-5422667,
Groningen,"/zorgorganisatie/811591/psychologenpraktijk/groningen/wingberm",psychologenpraktijk,Wingberm - Groningen,Woldweg 4,9734 AC ,Groningen,53.232491,6.630336,,050-4040609,
Groningen,"/zorgorganisatie/811611/psychologenpraktijk/groningen/adri-boer-coaching-en-advies",psychologenpraktijk,Adri Boer Coaching en Advies - Groningen,Boekweitstraat 25,9734 AW ,Groningen,53.230869,6.625850,,050-5499099,
Groningen,"/zorgorganisatie/811608/psychologenpraktijk/groningen/praktijk-josienna-davidse",psychologenpraktijk,Praktijk Josienna Davidse - Groningen,Waterland 90,9734 BK ,Groningen,53.242172,6.614878,,050-5490689,
Groningen,"/zorgorganisatie/811612/psychologenpraktijk/groningen/psychologenpraktijk-de-jong-en-vermeulen",psychologenpraktijk,Psychologenpraktijk de Jong en Vermeulen - Groningen,Johan Dijkstralaan 13,9744 DA ,Groningen,53.204334,6.514185,,050-5531769,
Groningen,"/zorgorganisatie/811613/psychologenpraktijk/groningen/callender-drs-k-s",psychologenpraktijk,Callender Drs K S - Groningen,Siersteenlaan 626,9745 DV ,Groningen,53.224850,6.523422,,050-5711434,
Groningen,"/zorgorganisatie/811580/psychologenpraktijk/groningen/i-a-e-psychologenpraktijk",psychologenpraktijk,I & E Psychologenpraktijk - Groningen,Zernikepark 12,9747 AN ,Groningen,53.244686,6.532960,,050-3123851,
Groningen,"/zorgorganisatie/811618/psychologenpraktijk/groningen/psy-zo-traumabehandeling-emdr",psychologenpraktijk,Psy-Zo! Traumabehandeling (emdr) - Groningen,Zernikepark 12,9747 AN ,Groningen,53.244686,6.532960,,050-7502000,
Groningen,"/zorgorganisatie/6791/ziekenhuis/groningen/universitair-medisch-centrum-groningen-umcg",ziekenhuis,Universitair Medisch Centrum Groningen | UMCG - Groningen,Hanzeplein 1,9713 GZ ,Groningen,53.220634,6.576466,,050-3616161,
Groningen,"/zorgorganisatie/6695/ziekenhuis/groningen/martini-ziekenhuis",ziekenhuis,Martini Ziekenhuis - Groningen,Van Swietenplein 1,9728 NT ,Groningen,53.192394,6.552333,,050-5245245,
Groningen,"/zorgorganisatie/6695/ziekenhuis/groningen/martini-ziekenhuis",ziekenhuis,Martini Ziekenhuis - Groningen,Van Swietenplein 1,9728 NT ,Groningen,53.192394,6.552333,,050-5245245,
Groningen,"/zorgorganisatie/6695/ziekenhuis/groningen/martini-ziekenhuis",ziekenhuis,Martini Ziekenhuis - Groningen,Van Swietenplein 1,9728 NT ,Groningen,53.192394,6.552333,,050-5245245,
Groningen,"/zorgorganisatie/805662/fysiotherapiepraktijk/grootegast/fysio-grootegast",fysiotherapiepraktijk,Fysio Grootegast - Grootegast,De Schalck 6,9861 BD ,Grootegast,53.213367,6.280350,,0594-612329,
Groningen,"/zorgorganisatie/794251/fysiotherapiepraktijk/haren/haren-praktijk-voor-fysiotherapie",fysiotherapiepraktijk,Haren praktijk voor Fysiotherapie - Haren GN,Molenweg 33,9751 AG ,Haren GN,53.174999,6.605492,,050-5345058,
Groningen,"/zorgorganisatie/794027/fysiotherapiepraktijk/haren/praktijk-raadhuisplein",fysiotherapiepraktijk,Praktijk Raadhuisplein - Haren GN,Raadhuisplein 14,9751 AN ,Haren GN,53.173412,6.603460,,050-5344629,
